Epoch,Train Loss,Validation Loss,Accuracy,Precision,Recall,F1-Score
1,1.8704456975383144,1.6518861496890034,0.5928571428571429,0.6529356389911719,0.5928571428571429,0.571084835209774
2,1.3812435423174212,0.981697455600456,0.780952380952381,0.7972221847313895,0.780952380952381,0.7742431946762567
3,0.9325491257252232,0.6806787693942035,0.7869047619047619,0.804513505629805,0.7869047619047619,0.7748234373212611
4,0.6835700427332232,0.4586721106811806,0.8773809523809524,0.8840303691350543,0.8773809523809524,0.8761529780107095
5,0.5739871508652165,0.39739158859959356,0.8714285714285714,0.8714454542663993,0.8714285714285714,0.8654987769732897
6,0.4773255968766828,0.29968167068781676,0.9011904761904762,0.9059497221419939,0.9011904761904762,0.9000710579971613
7,0.39758994406269443,0.28259147979595045,0.8976190476190476,0.9182603553362407,0.8976190476190476,0.8946507088667444
8,0.3374238177653282,0.26414330855563833,0.9119047619047619,0.9215040042107709,0.9119047619047619,0.9121466328794489
9,0.3146184204566863,0.20671502776719905,0.9345238095238095,0.9365779908987887,0.9345238095238095,0.9341283007546684
10,0.28519946264643825,0.1942332874017733,0.9214285714285714,0.9357062655955324,0.9214285714285714,0.9201319656175225
11,0.24136972823931324,0.1547301523387432,0.9428571428571428,0.9512776676255981,0.9428571428571428,0.942368151571046
12,0.23750895634293556,0.13076921552419662,0.9547619047619048,0.957043912864122,0.9547619047619048,0.9544386579069166
13,0.20744152679558722,0.14153626285217427,0.9452380952380952,0.949665645777472,0.9452380952380952,0.944063146791789
14,0.20536448373909919,0.16488432484092536,0.9321428571428572,0.9470608228923083,0.9321428571428572,0.9306348870355315
15,0.20501256559885317,0.12192990203146581,0.9476190476190476,0.9540890478603996,0.9476190476190476,0.9473529883177334
16,0.16748423261507864,0.09258612321206817,0.9726190476190476,0.9727720780842105,0.9726190476190476,0.9726425939535907
17,0.15202566542692722,0.09123627558626511,0.9595238095238096,0.9623049831973541,0.9595238095238096,0.9591698095986475
18,0.1602554285688506,0.11499480696188079,0.9535714285714286,0.9602715981015101,0.9535714285714286,0.9531838542625368
19,0.1252752497882372,0.10613740109666078,0.9571428571428572,0.9616767407612218,0.9571428571428572,0.9566514716749008
20,0.1234428410929057,0.08270409837779072,0.9678571428571429,0.9689366906098156,0.9678571428571429,0.9676665457476383
